implementation,revision,workload,seed,entries,allocated_handles,writers,repeat,seconds,ops,p50_ns,p95_ns,p99_ns,peak_rss_bytes,arena_bytes,bytes_per_handle,result_hash,errors,active_scan_ns,frozen_first_scan_ns,frozen_ready_scan_ns
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,1,0,0.000318917,1024,0,0,0,5947392,155246,151,16340194407465152223,0,271333,244625,243000
candidate,candidate-path-once,ascending,20260920,1024,1024,1,0,0.000245125,1024,0,0,0,5914624,150088,146,16340194407465152223,0,54917,56583,49708
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,1,0,0.000243542,1024,0,0,0,5947392,155246,151,16340194407465152223,0,239208,226958,221167
candidate,candidate-path-once,ascending,20260920,1024,1024,1,0,0.000235291,1024,0,0,0,5881856,150088,146,16340194407465152223,0,54125,56417,49750
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,1,0,0.000319041,1024,0,0,0,5980160,155246,151,16340194407465152223,0,246709,297250,254041
candidate,candidate-path-once,ascending,20260920,1024,1024,1,0,0.000242708,1024,0,0,0,5914624,150088,146,16340194407465152223,0,55334,58541,51459
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,1,0,0.000250834,1024,0,0,0,5931008,155246,151,16340194407465152223,0,248750,238000,243333
candidate,candidate-path-once,ascending,20260920,1024,1024,1,0,0.000250917,1024,0,0,0,5865472,150088,146,16340194407465152223,0,57250,59291,52000
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,1,0,0.000250334,1024,0,0,0,5947392,155246,151,16340194407465152223,0,250208,230500,221250
candidate,candidate-path-once,ascending,20260920,1024,1024,1,0,0.000233167,1024,0,0,0,5881856,150088,146,16340194407465152223,0,57000,56375,49625
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,4,0,0.000264459,1024,0,0,0,6094848,162518,158,16340194407465152223,0,250291,237500,222542
candidate,candidate-path-once,ascending,20260920,1024,1024,4,0,0.0002545,1024,0,0,0,6242304,150088,146,16340194407465152223,0,53291,58292,51417
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,4,0,0.000267291,1024,0,0,0,6144000,162496,158,16340194407465152223,0,248709,238208,234500
candidate,candidate-path-once,ascending,20260920,1024,1024,4,0,0.000261,1024,0,0,0,6144000,150088,146,16340194407465152223,0,54625,57875,51500
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,4,0,0.000267667,1024,0,0,0,6111232,162542,158,16340194407465152223,0,249333,230708,236709
candidate,candidate-path-once,ascending,20260920,1024,1024,4,0,0.000371875,1024,0,0,0,6045696,150088,146,16340194407465152223,0,54584,58250,51625
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,4,0,0.000388542,1024,0,0,0,6012928,162295,158,16340194407465152223,0,248375,243333,240334
candidate,candidate-path-once,ascending,20260920,1024,1024,4,0,0.0002725,1024,0,0,0,6062080,150088,146,16340194407465152223,0,55500,58333,51834
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,4,0,0.000596833,1024,0,0,0,6078464,162374,158,16340194407465152223,0,250000,243417,242500
