implementation,revision,workload,seed,entries,allocated_handles,writers,repeat,seconds,ops,p50_ns,p95_ns,p99_ns,peak_rss_bytes,arena_bytes,bytes_per_handle,result_hash,errors,active_scan_ns,frozen_first_scan_ns,frozen_ready_scan_ns,phase,elapsed_ns,index_insert_ns,allocate_and_insert_ns,active_scan_ns_phase,freeze_prepare_ns,first_frozen_scan_ns,ready_frozen_scan_ns
vector,fdece4e,ascending,20260920,1024,1024,1,0,0.000241875,1024,NA,NA,NA,5849088,42436,41,16340194407465152223,0,77375,66000,51417,all,437084,241875,241875,77375,417,66000,51417
skiplist,fdece4e,ascending,20260920,1024,1024,1,0,0.00033325,1024,NA,NA,NA,5767168,60824,59,16340194407465152223,0,52791,51334,51291,all,488666,333250,333250,52791,0,51334,51291
radix,fdece4e,ascending,20260920,1024,1024,1,0,0.000286916,1024,NA,NA,NA,5898240,181072,176,16340194407465152223,0,56167,54208,49500,all,451416,286916,286916,56167,4625,54208,49500
radix,fdece4e,ascending,20260920,1024,1024,1,0,0.000257792,1024,NA,NA,NA,5914624,181072,176,16340194407465152223,0,54333,56667,69083,all,442875,257792,257792,54333,5000,56667,69083
vector,fdece4e,ascending,20260920,1024,1024,1,0,0.000159833,1024,NA,NA,NA,5832704,42436,41,16340194407465152223,0,68833,65500,51334,all,345542,159833,159833,68833,42,65500,51334
skiplist,fdece4e,ascending,20260920,1024,1024,1,0,0.000392292,1024,NA,NA,NA,5783552,60632,59,16340194407465152223,0,53917,51375,51291,all,548875,392292,392292,53917,0,51375,51291
vector,fdece4e,ascending,20260920,1024,1024,1,0,0.000162458,1024,NA,NA,NA,5865472,42436,41,16340194407465152223,0,70708,65375,51375,all,349916,162458,162458,70708,0,65375,51375
skiplist,fdece4e,ascending,20260920,1024,1024,1,0,0.000317708,1024,NA,NA,NA,5783552,60792,59,16340194407465152223,0,55709,51333,51208,all,475958,317708,317708,55709,0,51333,51208
radix,fdece4e,ascending,20260920,1024,1024,1,0,0.000648208,1024,NA,NA,NA,5931008,181072,176,16340194407465152223,0,207875,125792,90708,all,1107625,648208,648208,207875,35042,125792,90708
radix,fdece4e,ascending,20260920,1024,1024,1,0,0.000260875,1024,NA,NA,NA,5914624,181072,176,16340194407465152223,0,53500,54291,49500,all,422791,260875,260875,53500,4625,54291,49500
vector,fdece4e,ascending,20260920,1024,1024,1,0,0.000174917,1024,NA,NA,NA,5881856,42436,41,16340194407465152223,0,78375,64458,49500,all,367292,174917,174917,78375,42,64458,49500
skiplist,fdece4e,ascending,20260920,1024,1024,1,0,0.000370792,1024,NA,NA,NA,5799936,61016,59,16340194407465152223,0,57250,51458,51334,all,530876,370792,370792,57250,42,51458,51334
vector,fdece4e,ascending,20260920,1024,1024,1,0,0.000163958,1024,NA,NA,NA,5832704,42436,41,16340194407465152223,0,71208,63125,49417,all,347708,163958,163958,71208,0,63125,49417
skiplist,fdece4e,ascending,20260920,1024,1024,1,0,0.000310041,1024,NA,NA,NA,5783552,60960,59,16340194407465152223,0,53209,49458,49417,all,462166,310041,310041,53209,41,49458,49417
radix,fdece4e,ascending,20260920,1024,1024,1,0,0.000259375,1024,NA,NA,NA,5865472,181072,176,16340194407465152223,0,54916,61500,51459,all,431917,259375,259375,54916,4667,61500,51459
radix,fdece4e,ascending,20260920,1024,1024,4,0,0.000252208,1024,NA,NA,NA,6144000,197384,192,16340194407465152223,0,54542,56417,51375,all,419584,252208,252208,54542,5042,56417,51375
vector,fdece4e,ascending,20260920,1024,1024,4,0,0.000350792,1024,NA,NA,NA,6062080,43691,42,16340194407465152223,0,381292,182625,51291,all,966042,350792,350792,381292,42,182625,51291
skiplist,fdece4e,ascending,20260920,1024,1024,4,0,0.000262958,1024,NA,NA,NA,6012928,63640,62,16340194407465152223,0,52500,48250,48209,all,411959,262958,262958,52500,42,48250,48209
vector,fdece4e,ascending,20260920,1024,1024,4,0,0.000421542,1024,NA,NA,NA,6029312,43711,42,16340194407465152223,0,182416,170375,51417,all,825750,421542,421542,182416,0,170375,51417
skiplist,fdece4e,ascending,20260920,1024,1024,4,0,0.000279125,1024,NA,NA,NA,5914624,63208,61,16340194407465152223,0,50041,48292,48208,all,425708,279125,279125,50041,42,48292,48208
radix,fdece4e,ascending,20260920,1024,1024,4,0,0.000310833,1024,NA,NA,NA,6144000,194768,190,16340194407465152223,0,55250,56625,51292,all,479000,310833,310833,55250,5000,56625,51292
radix,fdece4e,ascending,20260920,1024,1024,4,0,0.000283291,1024,NA,NA,NA,6127616,196784,192,16340194407465152223,0,65334,57208,51417,all,462875,283291,283291,65334,5625,57208,51417
vector,fdece4e,ascending,20260920,1024,1024,4,0,0.000252583,1024,NA,NA,NA,6242304,43711,42,16340194407465152223,0,188167,171583,48334,all,660708,252583,252583,188167,41,171583,48334
skiplist,fdece4e,ascending,20260920,1024,1024,4,0,0.000452,1024,NA,NA,NA,5881856,63760,62,16340194407465152223,0,86208,84042,83750,all,706000,452000,452000,86208,0,84042,83750
vector,fdece4e,ascending,20260920,1024,1024,4,0,0.00026025,1024,NA,NA,NA,6176768,43691,42,16340194407465152223,0,178167,174125,51292,all,663959,260250,260250,178167,125,174125,51292
skiplist,fdece4e,ascending,20260920,1024,1024,4,0,0.000269375,1024,NA,NA,NA,5914624,63560,62,16340194407465152223,0,52333,51334,51291,all,424375,269375,269375,52333,42,51334,51291
radix,fdece4e,ascending,20260920,1024,1024,4,0,0.000532833,1024,NA,NA,NA,6029312,193488,188,16340194407465152223,0,113250,83209,51458,all,810041,532833,532833,113250,29291,83209,51458
radix,fdece4e,ascending,20260920,1024,1024,4,0,0.000262333,1024,NA,NA,NA,6094848,199464,194,16340194407465152223,0,54458,56584,51291,all,429708,262333,262333,54458,5042,56584,51291
vector,fdece4e,ascending,20260920,1024,1024,4,0,0.000280958,1024,NA,NA,NA,6209536,43691,42,16340194407465152223,0,178834,169583,51417,all,680792,280958,280958,178834,0,169583,51417
skiplist,fdece4e,ascending,20260920,1024,1024,4,0,0.000410417,1024,NA,NA,NA,5914624,63960,62,16340194407465152223,0,52833,51459,51291,all,566042,410417,410417,52833,42,51459,51291
radix,fdece4e,ascending,20260920,1024,1024,8,0,0.000386125,1024,NA,NA,NA,6160384,203320,198,16340194407465152223,0,54250,56625,51375,all,553583,386125,386125,54250,5208,56625,51375
