variant,revision,workload,seed,entries,allocated_handles,writers,repeat,seconds,ops,p50_ns,p95_ns,p99_ns,peak_rss_bytes,arena_bytes,bytes_per_handle,result_hash,errors,active_scan_ns,frozen_first_scan_ns,frozen_ready_scan_ns,phase,elapsed_ns,index_insert_ns,allocate_and_insert_ns,active_scan_ns_phase,freeze_prepare_ns,first_frozen_scan_ns,ready_frozen_scan_ns
final,final,random,20260920,131072,131072,8,1,0.0468509,131072,NA,NA,NA,28704768,21015568,160,454339457082336225,0,28753541,35519292,27197250,memtable,46850917,46850917,46850917,28753541,8812583,35519292,27197250
isolation,isolation,random,20260920,131072,131072,8,1,0.113766,131072,NA,NA,NA,29196288,21151752,161,454339457082336225,0,43180375,29633084,25766958,memtable,113766291,113766291,113766291,43180375,5061000,29633084,25766958
baseline,baseline,random,20260920,131072,131072,8,1,0.0266859,131072,NA,NA,NA,26378240,19032768,145,454339457082336225,0,21345583,27993500,20216083,memtable,26685917,26685917,26685917,21345583,6029458,27993500,20216083
skiplist,skiplist,random,20260920,131072,131072,8,1,0.0332937,131072,NA,NA,NA,15237120,8141448,62,454339457082336225,0,11748500,15409000,11485166,memtable,33293709,33293709,33293709,11748500,0,15409000,11485166
nibble,nibble,random,20260920,131072,131072,8,1,0.019519,131072,NA,NA,NA,24707072,17452856,133,454339457082336225,0,23369208,29556834,23467833,memtable,19518958,19518958,19518958,23369208,4690584,29556834,23467833
nibble,nibble,random,20260920,131072,131072,8,2,0.0281665,131072,NA,NA,NA,24854528,17462256,133,454339457082336225,0,22668375,30297875,31052459,memtable,28166458,28166458,28166458,22668375,6353416,30297875,31052459
skiplist,skiplist,random,20260920,131072,131072,8,2,0.0419579,131072,NA,NA,NA,15368192,8137720,62,454339457082336225,0,19723250,21413125,16164333,memtable,41957917,41957917,41957917,19723250,42,21413125,16164333
baseline,baseline,random,20260920,131072,131072,8,2,0.027664,131072,NA,NA,NA,26279936,19020168,145,454339457082336225,0,21331000,27321875,22857666,memtable,27663959,27663959,27663959,21331000,5484875,27321875,22857666
isolation,isolation,random,20260920,131072,131072,8,2,0.0221735,131072,NA,NA,NA,29114368,21183928,161,454339457082336225,0,19140833,26526959,22571041,memtable,22173500,22173500,22173500,19140833,4904250,26526959,22571041
final,final,random,20260920,131072,131072,8,2,0.020791,131072,NA,NA,NA,28884992,21018208,160,454339457082336225,0,19554875,28960208,23699000,memtable,20791000,20791000,20791000,19554875,4405834,28960208,23699000
final,final,random,20260920,131072,131072,8,3,0.0283495,131072,NA,NA,NA,28999680,21077720,160,454339457082336225,0,22819792,28580125,19064000,memtable,28349500,28349500,28349500,22819792,5679167,28580125,19064000
isolation,isolation,random,20260920,131072,131072,8,3,0.0217052,131072,NA,NA,NA,29097984,21105760,161,454339457082336225,0,21830542,27304042,20350333,memtable,21705208,21705208,21705208,21830542,4376667,27304042,20350333
baseline,baseline,random,20260920,131072,131072,8,3,0.0225978,131072,NA,NA,NA,26345472,19022680,145,454339457082336225,0,16161791,27875042,23681042,memtable,22597792,22597792,22597792,16161791,3971375,27875042,23681042
skiplist,skiplist,random,20260920,131072,131072,8,3,0.0300885,131072,NA,NA,NA,15466496,8147568,62,454339457082336225,0,15074292,20243417,13830541,memtable,30088541,30088541,30088541,15074292,42,20243417,13830541
nibble,nibble,random,20260920,131072,131072,8,3,0.0254431,131072,NA,NA,NA,24723456,17458792,133,454339457082336225,0,20000875,32148625,21756333,memtable,25443083,25443083,25443083,20000875,7176417,32148625,21756333
nibble,nibble,random,20260920,131072,131072,8,4,0.0269976,131072,NA,NA,NA,24707072,17464928,133,454339457082336225,0,23284667,27702000,25096500,memtable,26997583,26997583,26997583,23284667,4920333,27702000,25096500
skiplist,skiplist,random,20260920,131072,131072,8,4,0.0238055,131072,NA,NA,NA,15384576,8169008,62,454339457082336225,0,16888083,10913042,15222208,memtable,23805542,23805542,23805542,16888083,41,10913042,15222208
baseline,baseline,random,20260920,131072,131072,8,4,0.0244429,131072,NA,NA,NA,26329088,19020464,145,454339457082336225,0,20154750,24627667,23539625,memtable,24442916,24442916,24442916,20154750,3956584,24627667,23539625
isolation,isolation,random,20260920,131072,131072,8,4,0.0235889,131072,NA,NA,NA,29016064,21058272,160,454339457082336225,0,23483458,31629625,22028708,memtable,23588875,23588875,23588875,23483458,5997542,31629625,22028708
final,final,random,20260920,131072,131072,8,4,0.0232155,131072,NA,NA,NA,28786688,21030976,160,454339457082336225,0,16008458,26579042,24253583,memtable,23215459,23215459,23215459,16008458,4951500,26579042,24253583
final,final,random,20260920,131072,131072,8,5,0.0239499,131072,NA,NA,NA,28852224,21063928,160,454339457082336225,0,16973625,28022166,24194375,memtable,23949917,23949917,23949917,16973625,3714167,28022166,24194375
isolation,isolation,random,20260920,131072,131072,8,5,0.0266671,131072,NA,NA,NA,29278208,21254832,162,454339457082336225,0,19580875,25340333,21962125,memtable,26667083,26667083,26667083,19580875,3933458,25340333,21962125
baseline,baseline,random,20260920,131072,131072,8,5,0.0252386,131072,NA,NA,NA,26247168,19021472,145,454339457082336225,0,20649250,22536000,22847416,memtable,25238625,25238625,25238625,20649250,3597333,22536000,22847416
skiplist,skiplist,random,20260920,131072,131072,8,5,0.0271581,131072,NA,NA,NA,15368192,8157568,62,454339457082336225,0,16604708,12053000,14084084,memtable,27158125,27158125,27158125,16604708,42,12053000,14084084
nibble,nibble,random,20260920,131072,131072,8,5,0.022242,131072,NA,NA,NA,24723456,17466576,133,454339457082336225,0,22269500,29650916,25042667,memtable,22242000,22242000,22242000,22269500,8031125,29650916,25042667
nibble,nibble,random,20260921,131072,131072,8,1,0.0240588,131072,NA,NA,NA,24707072,17451688,133,454339457082336225,0,24113958,29007125,24276250,memtable,24058750,24058750,24058750,24113958,5103458,29007125,24276250
skiplist,skiplist,random,20260921,131072,131072,8,1,0.0244348,131072,NA,NA,NA,15253504,8171672,62,454339457082336225,0,12100625,10904500,14028292,memtable,24434791,24434791,24434791,12100625,0,10904500,14028292
baseline,baseline,random,20260921,131072,131072,8,1,0.0255908,131072,NA,NA,NA,26230784,19005400,144,454339457082336225,0,24396292,24500083,20984125,memtable,25590792,25590792,25590792,24396292,3489959,24500083,20984125
isolation,isolation,random,20260921,131072,131072,8,1,0.0257958,131072,NA,NA,NA,29114368,21077912,160,454339457082336225,0,22976000,28827375,22277125,memtable,25795834,25795834,25795834,22976000,5097583,28827375,22277125
final,final,random,20260921,131072,131072,8,1,0.0233292,131072,NA,NA,NA,28803072,21048488,160,454339457082336225,0,23295250,25033375,23511333,memtable,23329208,23329208,23329208,23295250,5574500,25033375,23511333
final,final,random,20260921,131072,131072,8,2,0.0281838,131072,NA,NA,NA,28868608,21061672,160,454339457082336225,0,19777375,27108875,22624500,memtable,28183750,28183750,28183750,19777375,4297459,27108875,22624500
isolation,isolation,random,20260921,131072,131072,8,2,0.0255987,131072,NA,NA,NA,29097984,21124248,161,454339457082336225,0,17988709,25054208,23307167,memtable,25598708,25598708,25598708,17988709,3994458,25054208,23307167
baseline,baseline,random,20260921,131072,131072,8,2,0.0219846,131072,NA,NA,NA,26230784,19003600,144,454339457082336225,0,18008458,27671833,18883750,memtable,21984584,21984584,21984584,18008458,4615750,27671833,18883750
