variant,revision,workload,seed,entries,allocated_handles,writers,repeat,seconds,ops,p50_ns,p95_ns,p99_ns,peak_rss_bytes,arena_bytes,bytes_per_handle,result_hash,errors,active_scan_ns,frozen_first_scan_ns,frozen_ready_scan_ns,phase,elapsed_ns,index_insert_ns,allocate_and_insert_ns,active_scan_ns_phase,freeze_prepare_ns,first_frozen_scan_ns,ready_frozen_scan_ns
nibble,nibble,random,20260920,131072,131072,8,1,0.0350017,131072,NA,NA,NA,24756224,17450408,133,454339457082336225,0,22066041,28464334,29054833,memtable,35001667,35001667,35001667,22066041,7572958,28464334,29054833
skiplist,skiplist,random,20260920,131072,131072,8,1,0.0415334,131072,NA,NA,NA,15155200,8174552,62,454339457082336225,0,18805042,15900667,9925750,memtable,41533375,41533375,41533375,18805042,42,15900667,9925750
baseline,baseline,random,20260920,131072,131072,8,1,0.022409,131072,NA,NA,NA,26279936,18992440,144,454339457082336225,0,21755791,27551875,17484167,memtable,22409042,22409042,22409042,21755791,3831292,27551875,17484167
isolation,isolation,random,20260920,131072,131072,8,1,0.0268421,131072,NA,NA,NA,28901376,21074768,160,454339457082336225,0,19245625,25661417,22519583,memtable,26842083,26842083,26842083,19245625,4729167,25661417,22519583
final,final,random,20260920,131072,131072,8,1,0.0246666,131072,NA,NA,NA,28786688,21055168,160,454339457082336225,0,21103375,24373333,25108500,memtable,24666584,24666584,24666584,21103375,5842667,24373333,25108500
final,final,random,20260920,131072,131072,8,2,0.038005,131072,NA,NA,NA,28606464,21060448,160,454339457082336225,0,16374542,29524958,23322000,memtable,38005041,38005041,38005041,16374542,3658834,29524958,23322000
isolation,isolation,random,20260920,131072,131072,8,2,0.027196,131072,NA,NA,NA,29245440,21231680,161,454339457082336225,0,15418042,33117375,21135791,memtable,27196042,27196042,27196042,15418042,5372875,33117375,21135791
baseline,baseline,random,20260920,131072,131072,8,2,0.0236092,131072,NA,NA,NA,26247168,19004152,144,454339457082336225,0,21345625,29768333,20596083,memtable,23609209,23609209,23609209,21345625,3923791,29768333,20596083
skiplist,skiplist,random,20260920,131072,131072,8,2,0.0327565,131072,NA,NA,NA,15253504,8134328,62,454339457082336225,0,12742792,14971667,15530375,memtable,32756541,32756541,32756541,12742792,0,14971667,15530375
nibble,nibble,random,20260920,131072,131072,8,2,0.0214584,131072,NA,NA,NA,24821760,17455872,133,454339457082336225,0,22981500,30820000,25239250,memtable,21458417,21458417,21458417,22981500,5755083,30820000,25239250
nibble,nibble,random,20260920,131072,131072,8,3,0.0294477,131072,NA,NA,NA,24756224,17440808,133,454339457082336225,0,24602084,27313583,23303750,memtable,29447666,29447666,29447666,24602084,5480125,27313583,23303750
skiplist,skiplist,random,20260920,131072,131072,8,3,0.0384678,131072,NA,NA,NA,15286272,8138632,62,454339457082336225,0,8023000,12235375,18047458,memtable,38467750,38467750,38467750,8023000,42,12235375,18047458
baseline,baseline,random,20260920,131072,131072,8,3,0.0252528,131072,NA,NA,NA,26247168,19018688,145,454339457082336225,0,23475625,27578458,23650792,memtable,25252792,25252792,25252792,23475625,3065333,27578458,23650792
