variant,revision,workload,seed,entries,allocated_handles,writers,repeat,seconds,ops,p50_ns,p95_ns,p99_ns,peak_rss_bytes,arena_bytes,bytes_per_handle,result_hash,errors,active_scan_ns,frozen_first_scan_ns,frozen_ready_scan_ns,phase,elapsed_ns,index_insert_ns,allocate_and_insert_ns,active_scan_ns_phase,freeze_prepare_ns,first_frozen_scan_ns,ready_frozen_scan_ns
nibble,nibble,random,20260920,131072,131072,1,1,0.0637031,131072,NA,NA,NA,23216128,16369832,124,454339457082336225,0,29256000,36083083,20584334,memtable,63703083,63703083,63703083,29256000,8753500,36083083,20584334
byte,byte,random,20260920,131072,131072,1,1,0.0461675,131072,NA,NA,NA,56983552,50061536,381,454339457082336225,0,17369292,30055125,24578667,memtable,46167500,46167500,46167500,17369292,3281208,30055125,24578667
baseline,baseline,random,20260920,131072,131072,1,1,0.04733,131072,NA,NA,NA,24444928,17678624,134,454339457082336225,0,14745542,27688708,24907417,memtable,47329958,47329958,47329958,14745542,2376833,27688708,24907417
candidate,candidate,random,20260920,131072,131072,1,1,0.0452613,131072,NA,NA,NA,24461312,17678624,134,454339457082336225,0,16588417,28016750,24535250,memtable,45261291,45261291,45261291,16588417,3851083,28016750,24535250
candidate,candidate,random,20260920,131072,131072,4,1,0.0310225,131072,NA,NA,NA,26230784,18943592,144,454339457082336225,0,18655334,27146666,22103417,memtable,31022458,31022458,31022458,18655334,3589875,27146666,22103417
baseline,baseline,random,20260920,131072,131072,4,1,0.025045,131072,NA,NA,NA,26181632,18958600,144,454339457082336225,0,20063792,26571250,20332333,memtable,25045041,25045041,25045041,20063792,6027750,26571250,20332333
skiplist,skiplist,random,20260920,131072,131072,4,1,0.0400331,131072,NA,NA,NA,15056896,8105736,61,454339457082336225,0,11719791,13888792,10364833,memtable,40033084,40033084,40033084,11719791,0,13888792,10364833
nibble,nibble,random,20260920,131072,131072,4,1,0.0381343,131072,NA,NA,NA,24657920,17416928,132,454339457082336225,0,22007500,27401208,28529833,memtable,38134334,38134334,38134334,22007500,6340958,27401208,28529833
candidate,candidate,random,20260920,131072,131072,1,2,0.0431922,131072,NA,NA,NA,24477696,17678624,134,454339457082336225,0,20399250,28570042,24864583,memtable,43192208,43192208,43192208,20399250,5215416,28570042,24864583
baseline,baseline,random,20260920,131072,131072,1,2,0.0439874,131072,NA,NA,NA,24477696,17678624,134,454339457082336225,0,19248000,26032959,22668083,memtable,43987416,43987416,43987416,19248000,4349875,26032959,22668083
byte,byte,random,20260920,131072,131072,1,2,0.047867,131072,NA,NA,NA,56999936,50061536,381,454339457082336225,0,17191250,28725917,26389666,memtable,47866958,47866958,47866958,17191250,5309917,28725917,26389666
nibble,nibble,random,20260920,131072,131072,1,2,0.0681112,131072,NA,NA,NA,23166976,16369832,124,454339457082336225,0,28192084,32433708,24628792,memtable,68111250,68111250,68111250,28192084,5409625,32433708,24628792
nibble,nibble,random,20260920,131072,131072,4,2,0.0284668,131072,NA,NA,NA,24674304,17420656,132,454339457082336225,0,27417584,30471375,22215583,memtable,28466833,28466833,28466833,27417584,5318375,30471375,22215583
skiplist,skiplist,random,20260920,131072,131072,4,2,0.0388989,131072,NA,NA,NA,15286272,8099488,61,454339457082336225,0,17545834,16471208,14532000,memtable,38898916,38898916,38898916,17545834,42,16471208,14532000
baseline,baseline,random,20260920,131072,131072,4,2,0.0244846,131072,NA,NA,NA,26181632,18942416,144,454339457082336225,0,20497791,27146875,22438792,memtable,24484625,24484625,24484625,20497791,5402875,27146875,22438792
candidate,candidate,random,20260920,131072,131072,4,2,0.0272834,131072,NA,NA,NA,26165248,18904200,144,454339457082336225,0,18642708,28361667,20088750,memtable,27283375,27283375,27283375,18642708,4581250,28361667,20088750
nibble,nibble,random,20260920,131072,131072,1,3,0.0664119,131072,NA,NA,NA,23150592,16369832,124,454339457082336225,0,25365958,30450750,24374875,memtable,66411917,66411917,66411917,25365958,8163167,30450750,24374875
byte,byte,random,20260920,131072,131072,1,3,0.0518222,131072,NA,NA,NA,57032704,50061536,381,454339457082336225,0,11921709,28964083,27661417,memtable,51822166,51822166,51822166,11921709,5131666,28964083,27661417
baseline,baseline,random,20260920,131072,131072,1,3,0.046476,131072,NA,NA,NA,24477696,17678624,134,454339457082336225,0,24868042,29500250,23933750,memtable,46475958,46475958,46475958,24868042,4836625,29500250,23933750
candidate,candidate,random,20260920,131072,131072,1,3,0.0434107,131072,NA,NA,NA,24510464,17678624,134,454339457082336225,0,18029458,25663292,24121500,memtable,43410709,43410709,43410709,18029458,3387917,25663292,24121500
candidate,candidate,random,20260920,131072,131072,4,3,0.0220405,131072,NA,NA,NA,26263552,19021960,145,454339457082336225,0,17507500,27842250,23027750,memtable,22040500,22040500,22040500,17507500,5823958,27842250,23027750
baseline,baseline,random,20260920,131072,131072,4,3,0.0184825,131072,NA,NA,NA,26181632,18971304,144,454339457082336225,0,22329083,27471208,22453500,memtable,18482459,18482459,18482459,22329083,4559083,27471208,22453500
skiplist,skiplist,random,20260920,131072,131072,4,3,0.0334071,131072,NA,NA,NA,15302656,8105312,61,454339457082336225,0,15630792,12254000,10693958,memtable,33407125,33407125,33407125,15630792,41,12254000,10693958
nibble,nibble,random,20260920,131072,131072,4,3,0.0205409,131072,NA,NA,NA,24674304,17430136,132,454339457082336225,0,25202666,30839417,23727250,memtable,20540875,20540875,20540875,25202666,6940541,30839417,23727250
candidate,candidate,random,20260920,131072,131072,1,4,0.0424793,131072,NA,NA,NA,24510464,17678624,134,454339457082336225,0,21563000,24449625,21131084,memtable,42479250,42479250,42479250,21563000,4210791,24449625,21131084
baseline,baseline,random,20260920,131072,131072,1,4,0.0416316,131072,NA,NA,NA,24477696,17678624,134,454339457082336225,0,18658416,27519417,21792542,memtable,41631625,41631625,41631625,18658416,4695625,27519417,21792542
byte,byte,random,20260920,131072,131072,1,4,0.0478571,131072,NA,NA,NA,57032704,50061536,381,454339457082336225,0,16621000,29396958,27152834,memtable,47857125,47857125,47857125,16621000,5024041,29396958,27152834
nibble,nibble,random,20260920,131072,131072,1,4,0.056482,131072,NA,NA,NA,23166976,16369832,124,454339457082336225,0,24507667,30964708,22807417,memtable,56481958,56481958,56481958,24507667,5050708,30964708,22807417
nibble,nibble,random,20260920,131072,131072,4,4,0.0316126,131072,NA,NA,NA,24690688,17416072,132,454339457082336225,0,20845542,26365625,21654208,memtable,31612625,31612625,31612625,20845542,5408500,26365625,21654208
skiplist,skiplist,random,20260920,131072,131072,4,4,0.0327117,131072,NA,NA,NA,15171584,8107976,61,454339457082336225,0,9458125,15093750,15666416,memtable,32711750,32711750,32711750,9458125,42,15093750,15666416
baseline,baseline,random,20260920,131072,131072,4,4,0.0190097,131072,NA,NA,NA,26247168,18967016,144,454339457082336225,0,17504041,29135542,24057833,memtable,19009667,19009667,19009667,17504041,4790583,29135542,24057833
candidate,candidate,random,20260920,131072,131072,4,4,0.0247788,131072,NA,NA,NA,26148864,18930024,144,454339457082336225,0,21835167,28918583,17545500,memtable,24778833,24778833,24778833,21835167,2597792,28918583,17545500
nibble,nibble,random,20260920,131072,131072,1,5,0.0613189,131072,NA,NA,NA,23150592,16369832,124,454339457082336225,0,22708833,32593334,20886041,memtable,61318917,61318917,61318917,22708833,8786792,32593334,20886041
byte,byte,random,20260920,131072,131072,1,5,0.0448197,131072,NA,NA,NA,56983552,50061536,381,454339457082336225,0,17039875,29948875,25886125,memtable,44819666,44819666,44819666,17039875,4263375,29948875,25886125
baseline,baseline,random,20260920,131072,131072,1,5,0.0441347,131072,NA,NA,NA,24494080,17678624,134,454339457082336225,0,21901958,26149917,21333875,memtable,44134667,44134667,44134667,21901958,6636417,26149917,21333875
candidate,candidate,random,20260920,131072,131072,1,5,0.0471297,131072,NA,NA,NA,24477696,17678624,134,454339457082336225,0,17853792,28180500,21384542,memtable,47129666,47129666,47129666,17853792,4211667,28180500,21384542
candidate,candidate,random,20260920,131072,131072,4,5,0.0158637,131072,NA,NA,NA,26263552,18988760,144,454339457082336225,0,22023834,29138958,23943542,memtable,15863750,15863750,15863750,22023834,2896792,29138958,23943542
baseline,baseline,random,20260920,131072,131072,4,5,0.0223849,131072,NA,NA,NA,26181632,18961264,144,454339457082336225,0,19872750,24370000,24719125,memtable,22384917,22384917,22384917,19872750,5562459,24370000,24719125
skiplist,skiplist,random,20260920,131072,131072,4,5,0.0278648,131072,NA,NA,NA,15286272,8107480,61,454339457082336225,0,12166291,10775875,14816167,memtable,27864750,27864750,27864750,12166291,0,10775875,14816167
nibble,nibble,random,20260920,131072,131072,4,5,0.0218732,131072,NA,NA,NA,24641536,17415752,132,454339457082336225,0,24388375,28970458,23198500,memtable,21873208,21873208,21873208,24388375,5256500,28970458,23198500
candidate,candidate,random,20260920,131072,131072,8,1,0.0249334,131072,NA,NA,NA,26345472,19004440,144,454339457082336225,0,22654584,27219041,19142834,memtable,24933375,24933375,24933375,22654584,3676750,27219041,19142834
baseline,baseline,random,20260920,131072,131072,8,1,0.0177501,131072,NA,NA,NA,26263552,19024944,145,454339457082336225,0,20697208,23864834,23790791,memtable,17750125,17750125,17750125,20697208,3916583,23864834,23790791
