variant,revision,workload,seed,entries,allocated_handles,writers,repeat,seconds,ops,p50_ns,p95_ns,p99_ns,peak_rss_bytes,arena_bytes,bytes_per_handle,result_hash,errors,active_scan_ns,frozen_first_scan_ns,frozen_ready_scan_ns,phase,elapsed_ns,index_insert_ns,allocate_and_insert_ns,active_scan_ns_phase,freeze_prepare_ns,first_frozen_scan_ns,ready_frozen_scan_ns
nibble,nibble,random,20260920,131072,131072,1,1,0.0337382,131072,NA,NA,NA,23166976,16369832,124,454339457082336225,0,7782375,7541416,6027667,memtable,33738250,33738250,33738250,7782375,1494875,7541416,6027667
byte,byte,random,20260920,131072,131072,1,1,0.0290322,131072,NA,NA,NA,56967168,50061536,381,454339457082336225,0,8355541,10988750,7452042,memtable,29032209,29032209,29032209,8355541,1556916,10988750,7452042
baseline,baseline,random,20260920,131072,131072,1,1,0.0276602,131072,NA,NA,NA,24444928,17678624,134,454339457082336225,0,8091000,7447958,6047917,memtable,27660167,27660167,27660167,8091000,1279125,7447958,6047917
candidate,candidate,random,20260920,131072,131072,1,1,0.0267059,131072,NA,NA,NA,24461312,17678624,134,454339457082336225,0,7891709,7523625,6099125,memtable,26705916,26705916,26705916,7891709,1313875,7523625,6099125
candidate,candidate,random,20260920,131072,131072,4,1,0.0111433,131072,NA,NA,NA,26050560,19017504,145,454339457082336225,0,8025375,7612333,6075709,memtable,11143250,11143250,11143250,8025375,1345333,7612333,6075709
baseline,baseline,random,20260920,131072,131072,4,1,0.0109827,131072,NA,NA,NA,26116096,19013408,145,454339457082336225,0,8010417,7747375,6083583,memtable,10982666,10982666,10982666,8010417,1378709,7747375,6083583
skiplist,skiplist,random,20260920,131072,131072,4,1,0.0171624,131072,NA,NA,NA,15171584,8125232,61,454339457082336225,0,6180500,6080500,6009000,memtable,17162416,17162416,17162416,6180500,42,6080500,6009000
nibble,nibble,random,20260920,131072,131072,4,1,0.0151632,131072,NA,NA,NA,24428544,17308616,132,454339457082336225,0,7705916,7656750,6035125,memtable,15163250,15163250,15163250,7705916,1605917,7656750,6035125
candidate,candidate,random,20260920,131072,131072,1,2,0.026696,131072,NA,NA,NA,24444928,17678624,134,454339457082336225,0,7922083,7396500,6037584,memtable,26696000,26696000,26696000,7922083,1272625,7396500,6037584
baseline,baseline,random,20260920,131072,131072,1,2,0.0270162,131072,NA,NA,NA,24444928,17678624,134,454339457082336225,0,7908709,7530875,6045541,memtable,27016208,27016208,27016208,7908709,1322041,7530875,6045541
byte,byte,random,20260920,131072,131072,1,2,0.0291983,131072,NA,NA,NA,56999936,50061536,381,454339457082336225,0,8692791,10613042,7279917,memtable,29198334,29198334,29198334,8692791,1531292,10613042,7279917
nibble,nibble,random,20260920,131072,131072,1,2,0.033966,131072,NA,NA,NA,23166976,16369832,124,454339457082336225,0,7705625,7534708,6023667,memtable,33966000,33966000,33966000,7705625,1474375,7534708,6023667
nibble,nibble,random,20260920,131072,131072,4,2,0.0117965,131072,NA,NA,NA,24543232,17437296,133,454339457082336225,0,7740833,7670625,6074334,memtable,11796500,11796500,11796500,7740833,1611792,7670625,6074334
skiplist,skiplist,random,20260920,131072,131072,4,2,0.0169345,131072,NA,NA,NA,15171584,8125648,61,454339457082336225,0,6193750,6195625,6013084,memtable,16934541,16934541,16934541,6193750,0,6195625,6013084
baseline,baseline,random,20260920,131072,131072,4,2,0.0101254,131072,NA,NA,NA,26083328,18993600,144,454339457082336225,0,8005708,7623667,6759541,memtable,10125417,10125417,10125417,8005708,1346292,7623667,6759541
candidate,candidate,random,20260920,131072,131072,4,2,0.0116924,131072,NA,NA,NA,26214400,18984168,144,454339457082336225,0,8361291,7767042,6127250,memtable,11692375,11692375,11692375,8361291,1484958,7767042,6127250
