repeat,implementation,seconds,condition
1,radix,0.0139458,moderate_load
1,skiplist,0.0172105,moderate_load
2,skiplist,0.0178607,moderate_load
2,radix,0.0143822,moderate_load
3,radix,0.0152015,moderate_load
3,skiplist,0.0173893,moderate_load
4,skiplist,0.0193567,moderate_load
4,radix,0.0143195,moderate_load
5,radix,0.0139394,moderate_load
5,skiplist,0.0183743,moderate_load
6,skiplist,0.0179069,moderate_load
6,radix,0.0146419,moderate_load
7,radix,0.0134195,moderate_load
7,skiplist,0.0169918,moderate_load
8,skiplist,0.0169370,moderate_load
8,radix,0.0145013,moderate_load
9,radix,0.0164046,moderate_load
9,skiplist,0.0182119,moderate_load
10,skiplist,0.0174577,moderate_load
10,radix,0.0157215,moderate_load
11,radix,0.0146898,moderate_load
11,skiplist,0.0182141,moderate_load
12,skiplist,0.0229451,spotlight_activity
12,radix,0.0251693,spotlight_activity
13,radix,0.0140228,spotlight_activity
13,skiplist,0.0191296,spotlight_activity
14,skiplist,0.0218872,spotlight_activity
14,radix,0.0140526,spotlight_activity
15,radix,0.0131024,spotlight_activity
15,skiplist,0.0188754,spotlight_activity
16,skiplist,0.0167416,spotlight_activity
16,radix,0.0142512,spotlight_activity
17,radix,0.0134724,spotlight_activity
17,skiplist,0.0168950,spotlight_activity
18,skiplist,0.0167537,spotlight_activity
18,radix,0.0145297,spotlight_activity
19,radix,0.0156807,spotlight_activity
19,skiplist,0.0199870,spotlight_activity
20,skiplist,0.0188185,spotlight_activity
20,radix,0.0105830,spotlight_activity
