variant,revision,workload,seed,entries,allocated_handles,writers,repeat,seconds,ops,p50_ns,p95_ns,p99_ns,peak_rss_bytes,arena_bytes,bytes_per_handle,result_hash,errors,active_scan_ns,frozen_first_scan_ns,frozen_ready_scan_ns,phase,elapsed_ns,index_insert_ns,allocate_and_insert_ns,active_scan_ns_phase,freeze_prepare_ns,first_frozen_scan_ns,ready_frozen_scan_ns
nibble,nibble,random,20260920,131072,131072,1,1,0.0896392,131072,NA,NA,NA,23216128,16369832,124,454339457082336225,0,31402042,48306792,32358333,memtable,89639208,89639208,89639208,31402042,10610417,48306792,32358333
byte,byte,random,20260920,131072,131072,1,1,0.0544903,131072,NA,NA,NA,56967168,50061536,381,454339457082336225,0,20760875,31547792,25495708,memtable,54490333,54490333,54490333,20760875,6369125,31547792,25495708
baseline,baseline,random,20260920,131072,131072,1,1,0.0503463,131072,NA,NA,NA,24461312,17678624,134,454339457082336225,0,17881041,28151792,22007708,memtable,50346292,50346292,50346292,17881041,2652875,28151792,22007708
candidate,candidate,random,20260920,131072,131072,1,1,0.0592225,131072,NA,NA,NA,27000832,19657600,149,454339457082336225,0,22474875,28839917,24978625,memtable,59222458,59222458,59222458,22474875,5428709,28839917,24978625
candidate,candidate,random,20260920,131072,131072,4,1,0.0312276,131072,NA,NA,NA,28573696,20957224,159,454339457082336225,0,19732958,29700292,23709875,memtable,31227584,31227584,31227584,19732958,6358542,29700292,23709875
baseline,baseline,random,20260920,131072,131072,4,1,0.0262486,131072,NA,NA,NA,26214400,19023376,145,454339457082336225,0,21546750,26350917,22828916,memtable,26248583,26248583,26248583,21546750,3435000,26350917,22828916
skiplist,skiplist,random,20260920,131072,131072,4,1,0.0245408,131072,NA,NA,NA,15286272,8118208,61,454339457082336225,0,16419000,11356083,15099750,memtable,24540833,24540833,24540833,16419000,41,11356083,15099750
nibble,nibble,random,20260920,131072,131072,4,1,0.0227914,131072,NA,NA,NA,24641536,17458960,133,454339457082336225,0,20724750,32995958,23834125,memtable,22791417,22791417,22791417,20724750,6709125,32995958,23834125
candidate,candidate,random,20260920,131072,131072,1,2,0.0536316,131072,NA,NA,NA,27082752,19657600,149,454339457082336225,0,20555167,27589583,22702125,memtable,53631583,53631583,53631583,20555167,7784500,27589583,22702125
baseline,baseline,random,20260920,131072,131072,1,2,0.0461645,131072,NA,NA,NA,24461312,17678624,134,454339457082336225,0,20883750,24139375,24663375,memtable,46164542,46164542,46164542,20883750,4450500,24139375,24663375
byte,byte,random,20260920,131072,131072,1,2,0.0442113,131072,NA,NA,NA,57049088,50061536,381,454339457082336225,0,14109250,29073917,25975125,memtable,44211292,44211292,44211292,14109250,3938333,29073917,25975125
nibble,nibble,random,20260920,131072,131072,1,2,0.059835,131072,NA,NA,NA,23150592,16369832,124,454339457082336225,0,25711125,33418458,23991542,memtable,59835042,59835042,59835042,25711125,6596666,33418458,23991542
nibble,nibble,random,20260920,131072,131072,4,2,0.0278453,131072,NA,NA,NA,24707072,17409152,132,454339457082336225,0,20642500,29945083,23760250,memtable,27845292,27845292,27845292,20642500,6836792,29945083,23760250
skiplist,skiplist,random,20260920,131072,131072,4,2,0.0418349,131072,NA,NA,NA,15056896,8112200,61,454339457082336225,0,11237166,9103125,14192542,memtable,41834917,41834917,41834917,11237166,42,9103125,14192542
baseline,baseline,random,20260920,131072,131072,4,2,0.0236122,131072,NA,NA,NA,26198016,18958984,144,454339457082336225,0,18427959,29514666,20410584,memtable,23612166,23612166,23612166,18427959,4659792,29514666,20410584
candidate,candidate,random,20260920,131072,131072,4,2,0.0300391,131072,NA,NA,NA,28639232,20954880,159,454339457082336225,0,18991625,26434125,23143125,memtable,30039083,30039083,30039083,18991625,8097500,26434125,23143125
nibble,nibble,random,20260920,131072,131072,1,3,0.0613076,131072,NA,NA,NA,23183360,16369832,124,454339457082336225,0,19994500,29881458,27066125,memtable,61307625,61307625,61307625,19994500,6117791,29881458,27066125
byte,byte,random,20260920,131072,131072,1,3,0.0475584,131072,NA,NA,NA,57049088,50061536,381,454339457082336225,0,14878541,28217417,25383542,memtable,47558375,47558375,47558375,14878541,4423375,28217417,25383542
baseline,baseline,random,20260920,131072,131072,1,3,0.0438256,131072,NA,NA,NA,24494080,17678624,134,454339457082336225,0,19004458,27250000,21882792,memtable,43825584,43825584,43825584,19004458,2294917,27250000,21882792
candidate,candidate,random,20260920,131072,131072,1,3,0.055157,131072,NA,NA,NA,27049984,19657600,149,454339457082336225,0,19895125,24141833,23246417,memtable,55157042,55157042,55157042,19895125,4072542,24141833,23246417
candidate,candidate,random,20260920,131072,131072,4,3,0.0287092,131072,NA,NA,NA,28721152,20988264,160,454339457082336225,0,17588125,27273708,22206500,memtable,28709250,28709250,28709250,17588125,3682458,27273708,22206500
baseline,baseline,random,20260920,131072,131072,4,3,0.0259732,131072,NA,NA,NA,26132480,18945632,144,454339457082336225,0,21192083,23544042,20712208,memtable,25973250,25973250,25973250,21192083,3575500,23544042,20712208
skiplist,skiplist,random,20260920,131072,131072,4,3,0.0234742,131072,NA,NA,NA,15269888,8125008,61,454339457082336225,0,14081958,8084375,11432292,memtable,23474167,23474167,23474167,14081958,0,8084375,11432292
