repeat,implementation,seconds,load_before
1,radix,0.0150098,2.01
1,skiplist,0.0201937,2.01
2,skiplist,0.0228454,2.01
2,radix,0.0147238,2.01
3,radix,0.0165501,2.01
3,skiplist,0.0206497,2.01
4,skiplist,0.0195206,2.01
4,radix,0.0143052,2.01
5,radix,0.0139389,2.01
5,skiplist,0.0187090,2.01
6,skiplist,0.0190461,2.01
6,radix,0.0140994,2.01
7,radix,0.0146409,2.01
7,skiplist,0.0229554,2.01
8,skiplist,0.0212340,2.01
8,radix,0.0142469,2.01
9,radix,0.0132390,2.01
9,skiplist,0.0189377,2.01
10,skiplist,0.0191625,2.01
10,radix,0.0152497,2.01
11,radix,0.0161763,2.01
11,skiplist,0.0201080,2.01
12,skiplist,0.0185591,2.01
12,radix,0.0165999,2.01
13,radix,0.0147739,2.01
13,skiplist,0.0192492,2.01
14,skiplist,0.0190732,2.01
14,radix,0.0159108,2.01
15,radix,0.0132927,2.01
15,skiplist,0.0198055,2.01
16,skiplist,0.0213233,2.01
16,radix,0.0158220,2.01
17,radix,0.0172953,2.01
17,skiplist,0.0199890,2.01
18,skiplist,0.0206962,2.01
18,radix,0.0167282,2.01
19,radix,0.0156049,2.01
19,skiplist,0.0223387,2.01
20,skiplist,0.0176055,2.01
20,radix,0.0147112,2.01

