seed,repeat,implementation,seconds,involuntary_context_switches,cycles_elapsed,instructions_retired
20260920,1,radix,0.0133253,864,343425162,672312668
20260920,1,skiplist,0.0182086,296,412472881,1043172057
20260920,2,skiplist,0.0184768,156,449195408,1015659476
20260920,2,radix,0.0139211,185,378896985,658046186
20260920,3,radix,0.0140936,789,367268798,656457120
20260920,3,skiplist,0.0182244,426,394058814,1017307345
20260920,4,skiplist,0.0165528,104,396525906,1018226603
20260920,4,radix,0.0145493,270,395339296,656022304
20260920,5,radix,0.0149422,198,408301843,654368226
20260920,5,skiplist,0.0185067,83,423264684,1039660426
20260920,6,skiplist,0.0174506,95,400417581,1042032612
20260920,6,radix,0.0139161,266,370518920,653593237
20260921,1,radix,0.0147094,264,405731786,657903010
20260921,1,skiplist,0.0166350,119,418119154,1015453867
20260921,2,skiplist,0.0198990,103,438274979,1051970951
20260921,2,radix,0.0161331,187,427001193,651451567
20260921,3,radix,0.0135483,619,335840563,648157748
20260921,3,skiplist,0.0172273,95,415502850,1035137681
20260921,4,skiplist,0.0169000,106,434784051,1020807014
20260921,4,radix,0.0141497,189,382272478,657151814
20260921,5,radix,0.0166871,104,427550091,649997178
20260921,5,skiplist,0.0173224,116,404061681,1018228920
20260921,6,skiplist,0.0183128,151,425074443,1002412882
20260921,6,radix,0.0169033,576,412925518,653590201
20260922,1,radix,0.0165875,1596,399289066,650904946
20260922,1,skiplist,0.0191353,108,439814796,1040097854
20260922,2,skiplist,0.0170527,87,414434891,1032284611
20260922,2,radix,0.0138700,123,384794924,656513247
20260922,3,radix,0.0144803,217,392937826,654546801
20260922,3,skiplist,0.0180055,82,421384017,1032416013
20260922,4,skiplist,0.0159342,56,383950645,1026610799
20260922,4,radix,0.0149357,74,400493058,651105866
20260922,5,radix,0.0138695,120,383325808,656166437
20260922,5,skiplist,0.0181430,80,418416192,1020345833
20260922,6,skiplist,0.0180333,80,412612932,1040107874
20260922,6,radix,0.0149880,182,395378134,653678897
20260923,1,radix,0.0143829,159,393310689,653456600
20260923,1,skiplist,0.0172069,78,413419312,1031207052
20260923,2,skiplist,0.0174689,71,396559370,1029502338
20260923,2,radix,0.0132629,212,365169030,652905737
20260923,3,radix,0.0142696,121,391525499,655774200
20260923,3,skiplist,0.0170396,73,406986616,1053225508
20260923,4,skiplist,0.0188919,112,408435513,1033802173
20260923,4,radix,0.0145049,117,391677842,652301377
20260923,5,radix,0.0172448,137,453163162,651172958
20260923,5,skiplist,0.0175411,93,420340915,1039957300
20260923,6,skiplist,0.0172058,82,407349693,1019837298
20260923,6,radix,0.0149707,145,394612386,654304968
20260924,1,radix,0.0155132,137,407744229,646441909
20260924,1,skiplist,0.0167234,71,403229880,1018103221
20260924,2,skiplist,0.0176757,103,417091565,1041108105
20260924,2,radix,0.0152075,117,410402035,654264131
20260924,3,radix,0.0130090,489,324497181,641001212
20260924,3,skiplist,0.0203710,75,473974571,1015185953
20260924,4,skiplist,0.0182783,67,414477055,1048691614
20260924,4,radix,0.0138482,120,375604430,653017512
20260924,5,radix,0.0139490,142,383282446,656096233
20260924,5,skiplist,0.0170638,96,404196904,1002668162
20260924,6,skiplist,0.0172477,58,398041500,1031427879
20260924,6,radix,0.0151788,489,362582843,639842997
