repeat,implementation,seconds,involuntary_context_switches,cycles_elapsed,instructions_retired
1,radix,0.0218068,1282,537906695,658495755
1,skiplist,0.0320233,552,563924441,1059122286
2,skiplist,0.0286484,642,503177705,1017948184
2,radix,0.0217560,1063,583163107,659068213
3,radix,0.0229579,1716,515908324,643593984
3,skiplist,0.0310426,580,576274012,1028674468
4,skiplist,0.0272651,793,521136929,1019029542
4,radix,0.0238295,1623,540335051,647810537
5,radix,0.0209306,1425,581294724,662295490
5,skiplist,0.0261680,496,517440824,1033636455
6,skiplist,0.0335956,687,550235381,1092438421
6,radix,0.0228938,1625,458185196,630398431
7,radix,0.0207831,2021,572184945,657042812
7,skiplist,0.0267858,501,543691769,1017185493
8,skiplist,0.0281406,604,529361124,1033482550
8,radix,0.0210354,1663,610917125,659616556
9,radix,0.0257068,1552,509793642,638284378
9,skiplist,0.0353475,532,588739521,1068732195
10,skiplist,0.0316208,495,550102317,1022226216
10,radix,0.0265557,1441,531970893,646220863
11,radix,0.0234361,1522,520117076,643014705
11,skiplist,0.0316813,781,567837017,1003398580
12,skiplist,0.0267832,755,537794580,1031695431
12,radix,0.0267840,1486,592069971,655456638
13,radix,0.0178220,1525,549717400,661213531
13,skiplist,0.0333673,422,562740124,1026483793
14,skiplist,0.0286755,519,519870658,1095020653
14,radix,0.0291699,1531,601082517,651042499
15,radix,0.0230770,1521,553941645,652877141
15,skiplist,0.0209758,681,504508715,1027597185
16,skiplist,0.0921978,613,637305507,1039374799
16,radix,0.0218567,1419,495286363,641427606
17,radix,0.0254900,1631,568330636,647119602
17,skiplist,0.0391279,512,509423280,1027726068
18,skiplist,0.0275986,536,516427600,1022251085
18,radix,0.0235145,1685,551329297,654194551
19,radix,0.0311828,1899,573853933,653024764
19,skiplist,0.0307396,518,552468935,1018180245
20,skiplist,0.0212512,642,500485352,1016532595
20,radix,0.0193283,1334,544154680,650046881
