repeat,implementation,seconds,involuntary_context_switches,cycles_elapsed,instructions_retired
1,radix,0.0246516,2267,523337103,654420360
1,skiplist,0.0312130,644,458566885,1007417474
2,skiplist,0.0235644,592,558409912,1041419197
2,radix,0.0208312,1707,600862491,662347832
3,radix,0.0226063,1773,517010440,650824942
3,skiplist,0.0279875,727,519480217,1043855501
4,skiplist,0.0342472,606,561965272,1001418849
4,radix,0.0262150,1150,563549729,655943031
5,radix,0.0234717,1892,492289987,640804455
5,skiplist,0.0204978,687,493822858,1034909363
6,skiplist,0.0301999,535,515996087,1034644100
6,radix,0.0235250,1403,579982264,657058987
7,radix,0.0265058,1730,585766351,649588045
7,skiplist,0.0340597,586,546265186,1033451215
8,skiplist,0.0240495,1754,506492623,1031147205
8,radix,0.0248988,1583,545917460,649348605
9,radix,0.0238488,1281,542201353,642918814
9,skiplist,0.0198727,407,500549890,1053637889
10,skiplist,0.0309293,581,526645876,1030139986
10,radix,0.0249987,1600,535904741,653302799
11,radix,0.0237471,1952,596842720,660269681
11,skiplist,0.0324239,660,529555743,1029985451
12,skiplist,0.0279850,502,554955932,1046702900
12,radix,0.0215961,1135,555458331,663131722
13,radix,0.0198136,1838,576385724,665279610
13,skiplist,0.0309455,470,551241442,1091317166
14,skiplist,0.0306838,517,525082270,1015078541
14,radix,0.0276852,1755,571093947,645394698
15,radix,0.0244405,1672,609533611,661937191
15,skiplist,0.0297497,520,487302983,1040919511
16,skiplist,0.0334270,480,538128896,1043430662
16,radix,0.0235158,1233,526962977,650449469
17,radix,0.0196703,1481,568284066,666602986
17,skiplist,0.0288222,561,543526937,1046209507
18,skiplist,0.0277029,858,500428907,1021872049
18,radix,0.0264719,1604,579280291,645408072
19,radix,0.0223716,1342,618669261,661501567
19,skiplist,0.0355970,673,579027187,1026787255
20,skiplist,0.0432493,489,486976708,1030357138
20,radix,0.0226525,1536,598443275,664435149
