seed,repeat,implementation,seconds
20260920,1,radix,0.0154091
20260920,1,skiplist,0.0189468
20260920,2,skiplist,0.0179064
20260920,2,radix,0.0139658
20260920,3,radix,0.01433
20260920,3,skiplist,0.0174114
20260920,4,skiplist,0.0177569
20260920,4,radix,0.0139543
20260920,5,radix,0.0155076
20260920,5,skiplist,0.0183254
20260920,6,skiplist,0.0175239
20260920,6,radix,0.015021
20260920,7,radix,0.0164872
20260920,7,skiplist,0.0199048
20260920,8,skiplist,0.0166388
20260920,8,radix,0.0134366
20260920,9,radix,0.0137477
20260920,9,skiplist,0.0176072
20260920,10,skiplist,0.0171383
20260920,10,radix,0.014877
20260921,1,radix,0.0163872
20260921,1,skiplist,0.018751
20260921,2,skiplist,0.0179734
20260921,2,radix,0.0145496
20260921,3,radix,0.0149254
20260921,3,skiplist,0.0169686
20260921,4,skiplist,0.0179314
20260921,4,radix,0.0156398
20260921,5,radix,0.0165454
20260921,5,skiplist,0.0171324
20260921,6,skiplist,0.0176026
20260921,6,radix,0.016823
20260921,7,radix,0.0157887
20260921,7,skiplist,0.0189988
20260921,8,skiplist,0.0186233
20260921,8,radix,0.014046
20260921,9,radix,0.0134985
20260921,9,skiplist,0.0191545
20260921,10,skiplist,0.0166397
20260921,10,radix,0.013993
20260922,1,radix,0.0167503
20260922,1,skiplist,0.0168305
20260922,2,skiplist,0.0163035
20260922,2,radix,0.0152704
20260922,3,radix,0.0143684
20260922,3,skiplist,0.0168205
20260922,4,skiplist,0.0167949
20260922,4,radix,0.0161863
20260922,5,radix,0.013753
20260922,5,skiplist,0.0165528
20260922,6,skiplist,0.0178546
20260922,6,radix,0.0143228
20260922,7,radix,0.0144898
20260922,7,skiplist,0.017108
20260922,8,skiplist,0.0172485
20260922,8,radix,0.014741
20260922,9,radix,0.0140981
20260922,9,skiplist,0.0169317
20260922,10,skiplist,0.0185652
20260922,10,radix,0.0144495
20260923,1,radix,0.0153384
20260923,1,skiplist,0.0169252
20260923,2,skiplist,0.0176996
20260923,2,radix,0.0146423
20260923,3,radix,0.0158193
20260923,3,skiplist,0.0166883
20260923,4,skiplist,0.0169988
20260923,4,radix,0.0142031
20260923,5,radix,0.0142208
20260923,5,skiplist,0.0187823
20260923,6,skiplist,0.018378
20260923,6,radix,0.0145358
20260923,7,radix,0.0146759
20260923,7,skiplist,0.0176723
20260923,8,skiplist,0.0167421
20260923,8,radix,0.0160208
20260923,9,radix,0.0139382
20260923,9,skiplist,0.0163231
20260923,10,skiplist,0.0171445
20260923,10,radix,0.017425
20260924,1,radix,0.0141949
20260924,1,skiplist,0.0180331
20260924,2,skiplist,0.0194264
20260924,2,radix,0.0147157
20260924,3,radix,0.016768
20260924,3,skiplist,0.016548
20260924,4,skiplist,0.0166101
20260924,4,radix,0.0167393
20260924,5,radix,0.014043
20260924,5,skiplist,0.0181127
20260924,6,skiplist,0.0199743
20260924,6,radix,0.0141008
20260924,7,radix,0.0143588
20260924,7,skiplist,0.0173433
20260924,8,skiplist,0.0177938
20260924,8,radix,0.014882
20260924,9,radix,0.0134675
20260924,9,skiplist,0.0170391
20260924,10,skiplist,0.0164768
20260924,10,radix,0.0143715
