writers,repeat,implementation,seconds
1,1,radix,0.0278821
1,1,skiplist,0.0567447
1,2,skiplist,0.0613456
1,2,radix,0.0266348
1,3,radix,0.0268562
1,3,skiplist,0.0557737
1,4,skiplist,0.0555105
1,4,radix,0.0266125
1,5,radix,0.0267684
1,5,skiplist,0.0578829
1,6,skiplist,0.0593192
1,6,radix,0.0266416
1,7,radix,0.0267715
1,7,skiplist,0.0595736
1,8,skiplist,0.0556444
1,8,radix,0.0264945
1,9,radix,0.0266031
1,9,skiplist,0.0555751
1,10,skiplist,0.0571357
1,10,radix,0.0266151
1,11,radix,0.0268453
1,11,skiplist,0.0560821
1,12,skiplist,0.0548073
1,12,radix,0.0265590
1,13,radix,0.0266988
1,13,skiplist,0.0551771
1,14,skiplist,0.0560313
1,14,radix,0.0264701
1,15,radix,0.0266820
1,15,skiplist,0.0567790
4,1,radix,0.0100488
4,1,skiplist,0.0191375
4,2,skiplist,0.0181588
4,2,radix,0.0101562
4,3,radix,0.0103139
4,3,skiplist,0.0176062
4,4,skiplist,0.0173403
4,4,radix,0.0100677
4,5,radix,0.0102754
4,5,skiplist,0.0175335
4,6,skiplist,0.0168062
4,6,radix,0.0122325
4,7,radix,0.0101005
4,7,skiplist,0.0193841
4,8,skiplist,0.0167738
4,8,radix,0.0100199
4,9,radix,0.0100047
4,9,skiplist,0.0167425
4,10,skiplist,0.0176945
4,10,radix,0.0100115
4,11,radix,0.0102171
4,11,skiplist,0.0179462
4,12,skiplist,0.0164172
4,12,radix,0.0100042
4,13,radix,0.0100025
4,13,skiplist,0.0170636
4,14,skiplist,0.0168791
4,14,radix,0.0101957
4,15,radix,0.0101306
4,15,skiplist,0.0179596
8,1,radix,0.0143593
8,1,skiplist,0.0198918
8,2,skiplist,0.0171558
8,2,radix,0.0147346
8,3,radix,0.0153724
8,3,skiplist,0.0181199
8,4,skiplist,0.0169137
8,4,radix,0.0149623
8,5,radix,0.0164965
8,5,skiplist,0.0173505
8,6,skiplist,0.0168443
8,6,radix,0.0161978
8,7,radix,0.0140062
8,7,skiplist,0.0177035
8,8,skiplist,0.0165441
8,8,radix,0.0146387
8,9,radix,0.0156015
8,9,skiplist,0.0182922
8,10,skiplist,0.0187650
8,10,radix,0.0159990
8,11,radix,0.0135445
8,11,skiplist,0.0183123
8,12,skiplist,0.0165942
8,12,radix,0.0139135
8,13,radix,0.0167261
8,13,skiplist,0.0185364
8,14,skiplist,0.0193585
8,14,radix,0.0151473
8,15,radix,0.0142978
8,15,skiplist,0.0163086
