variant,revision,workload,seed,entries,allocated_handles,writers,repeat,seconds,ops,p50_ns,p95_ns,p99_ns,peak_rss_bytes,arena_bytes,bytes_per_handle,result_hash,errors,active_scan_ns,frozen_first_scan_ns,frozen_ready_scan_ns,phase,elapsed_ns,index_insert_ns,allocate_and_insert_ns,active_scan_ns_phase,freeze_prepare_ns,first_frozen_scan_ns,ready_frozen_scan_ns
nibble,nibble,random,20260920,131072,131072,1,0,0.0208455,131072,NA,NA,NA,24215552,16393368,125,454339457082336225,0,8195583,7471875,6017333,index,20845500,20845500,20845500,8195583,1420708,7471875,6017333
byte,byte,random,20260920,131072,131072,1,0,0.0168228,131072,NA,NA,NA,57933824,49978048,381,454339457082336225,0,10408916,6987542,6008917,index,16822834,16822834,16822834,10408916,968250,6987542,6008917
vector,vector,random,20260920,131072,131072,1,0,0.00121117,131072,NA,NA,NA,16547840,5433534,41,454339457082336225,0,33461625,33324917,6173875,index,1211166,1211166,1211166,33461625,42,33324917,6173875
candidate,candidate,random,20260920,131072,131072,1,0,0.0136024,131072,NA,NA,NA,25575424,17705128,135,454339457082336225,0,8365834,7338916,6189625,index,13602375,13602375,13602375,8365834,1159541,7338916,6189625
nibble,nibble,random,20260920,131072,131072,1,0,0.0339084,131072,NA,NA,NA,23166976,16369832,124,454339457082336225,0,7375083,7460542,6057625,memtable,33908417,33908417,33908417,7375083,1430750,7460542,6057625
byte,byte,random,20260920,131072,131072,1,0,0.0295199,131072,NA,NA,NA,56999936,50061536,381,454339457082336225,0,8224333,10744042,7431750,memtable,29519875,29519875,29519875,8224333,1529083,10744042,7431750
vector,vector,random,20260920,131072,131072,1,0,0.0132578,131072,NA,NA,NA,15450112,5433534,41,454339457082336225,0,33519916,34889084,6238333,memtable,13257750,13257750,13257750,33519916,41,34889084,6238333
candidate,candidate,random,20260920,131072,131072,1,0,0.0265384,131072,NA,NA,NA,24510464,17678624,134,454339457082336225,0,7692666,7392459,6051791,memtable,26538417,26538417,26538417,7692666,1263875,7392459,6051791
candidate,candidate,random,20260920,131072,131072,4,0,0.0097815,131072,NA,NA,NA,26050560,18979040,144,454339457082336225,0,7965875,7605417,6086250,memtable,9781500,9781500,9781500,7965875,1343000,7605417,6086250
skiplist,skiplist,random,20260920,131072,131072,4,0,0.0171282,131072,NA,NA,NA,15138816,8128632,62,454339457082336225,0,6183958,6179917,6168500,memtable,17128209,17128209,17128209,6183958,0,6179917,6168500
byte,byte,random,20260920,131072,131072,4,0,0.0220604,131072,NA,NA,NA,58425344,51253824,391,454339457082336225,0,8197375,7748250,6156917,memtable,22060375,22060375,22060375,8197375,1143125,7748250,6156917
nibble,nibble,random,20260920,131072,131072,4,0,0.0161805,131072,NA,NA,NA,24346624,17241024,131,454339457082336225,0,7548042,7626958,6024292,memtable,16180500,16180500,16180500,7548042,1587875,7626958,6024292
candidate,candidate,random,20260920,131072,131072,8,0,0.0152358,131072,NA,NA,NA,26361856,19033592,145,454339457082336225,0,8525750,8084250,6290125,memtable,15235834,15235834,15235834,8525750,1378125,8084250,6290125
skiplist,skiplist,random,20260920,131072,131072,8,0,0.0163147,131072,NA,NA,NA,15417344,8170408,62,454339457082336225,0,6434416,6202792,6237042,memtable,16314709,16314709,16314709,6434416,0,6202792,6237042
byte,byte,random,20260920,131072,131072,8,0,0.0475446,131072,NA,NA,NA,58753024,51372872,391,454339457082336225,0,8384584,7951166,6148459,memtable,47544583,47544583,47544583,8384584,1260666,7951166,6148459
nibble,nibble,random,20260920,131072,131072,8,0,0.0141931,131072,NA,NA,NA,24821760,17460808,133,454339457082336225,0,8028084,7840958,6067875,memtable,14193083,14193083,14193083,8028084,1675250,7840958,6067875
candidate,candidate,random,20260920,131072,131072,1,0,0.0136495,131072,NA,NA,NA,25542656,17705128,135,454339457082336225,0,8515667,7427083,6181917,index,13649500,13649500,13649500,8515667,1231042,7427083,6181917
vector,vector,random,20260920,131072,131072,1,0,0.00121583,131072,NA,NA,NA,16580608,5433534,41,454339457082336225,0,33564958,33265750,6221208,index,1215834,1215834,1215834,33564958,0,33265750,6221208
byte,byte,random,20260920,131072,131072,1,0,0.0170312,131072,NA,NA,NA,57917440,49978048,381,454339457082336225,0,7390667,6975458,6000792,index,17031166,17031166,17031166,7390667,957709,6975458,6000792
nibble,nibble,random,20260920,131072,131072,1,0,0.0210075,131072,NA,NA,NA,24248320,16393368,125,454339457082336225,0,7767166,7637584,6007583,index,21007500,21007500,21007500,7767166,1623791,7637584,6007583
candidate,candidate,random,20260920,131072,131072,1,0,0.026932,131072,NA,NA,NA,24494080,17678624,134,454339457082336225,0,7728083,7346834,6044458,memtable,26932042,26932042,26932042,7728083,1233917,7346834,6044458
vector,vector,random,20260920,131072,131072,1,0,0.0132777,131072,NA,NA,NA,15417344,5433534,41,454339457082336225,0,33653125,33280084,6171208,memtable,13277708,13277708,13277708,33653125,125,33280084,6171208
byte,byte,random,20260920,131072,131072,1,0,0.0305666,131072,NA,NA,NA,57032704,50061536,381,454339457082336225,0,8344042,10593750,7311958,memtable,30566583,30566583,30566583,8344042,1534500,10593750,7311958
nibble,nibble,random,20260920,131072,131072,1,0,0.0345556,131072,NA,NA,NA,23134208,16369832,124,454339457082336225,0,7656583,7494750,6034458,memtable,34555584,34555584,34555584,7656583,1464917,7494750,6034458
nibble,nibble,random,20260920,131072,131072,4,0,0.0121481,131072,NA,NA,NA,24543232,17436136,133,454339457082336225,0,7626625,7615667,6188333,memtable,12148083,12148083,12148083,7626625,1551875,7615667,6188333
byte,byte,random,20260920,131072,131072,4,0,0.0231298,131072,NA,NA,NA,58654720,51292344,391,454339457082336225,0,8123666,8265792,6212208,memtable,23129834,23129834,23129834,8123666,1247250,8265792,6212208
