variant,revision,workload,seed,entries,allocated_handles,writers,repeat,seconds,ops,p50_ns,p95_ns,p99_ns,peak_rss_bytes,arena_bytes,bytes_per_handle,result_hash,errors,active_scan_ns,frozen_first_scan_ns,frozen_ready_scan_ns,phase,elapsed_ns,index_insert_ns,allocate_and_insert_ns,active_scan_ns_phase,freeze_prepare_ns,first_frozen_scan_ns,ready_frozen_scan_ns
nibble,nibble,random,20260920,131072,131072,1,0,0.0231185,131072,NA,NA,NA,24199168,16393368,125,454339457082336225,0,9803750,9438458,7155959,index,23118458,23118458,23118458,9803750,2822666,9438458,7155959
byte,byte,random,20260920,131072,131072,1,0,0.0205886,131072,NA,NA,NA,57950208,49978048,381,454339457082336225,0,8204583,10309458,7760667,index,20588584,20588584,20588584,8204583,1283291,10309458,7760667
vector,vector,random,20260920,131072,131072,1,0,0.00122492,131072,NA,NA,NA,16580608,5433534,41,454339457082336225,0,35040500,34208917,6125916,index,1224917,1224917,1224917,35040500,84,34208917,6125916
nibble,nibble,random,20260920,131072,131072,1,0,0.0383018,131072,NA,NA,NA,23150592,16369832,124,454339457082336225,0,10260959,10640708,6955042,memtable,38301833,38301833,38301833,10260959,2283292,10640708,6955042
byte,byte,random,20260920,131072,131072,1,0,0.0312852,131072,NA,NA,NA,57016320,50061536,381,454339457082336225,0,8771625,13138792,11565125,memtable,31285208,31285208,31285208,8771625,1785709,13138792,11565125
vector,vector,random,20260920,131072,131072,1,0,0.0133778,131072,NA,NA,NA,15384576,5433534,41,454339457082336225,0,34365334,34283000,6126708,memtable,13377833,13377833,13377833,34365334,0,34283000,6126708
skiplist,skiplist,random,20260920,131072,131072,4,0,0.0218424,131072,NA,NA,NA,15220736,8118896,61,454339457082336225,0,7091041,6718750,7015292,memtable,21842375,21842375,21842375,7091041,42,6718750,7015292
byte,byte,random,20260920,131072,131072,4,0,0.0231878,131072,NA,NA,NA,58605568,51242760,390,454339457082336225,0,9486000,10287500,8380125,memtable,23187791,23187791,23187791,9486000,1684667,10287500,8380125
nibble,nibble,random,20260920,131072,131072,4,0,0.012975,131072,NA,NA,NA,24690688,17432384,132,454339457082336225,0,10567709,10757333,8972417,memtable,12974958,12974958,12974958,10567709,3066542,10757333,8972417
skiplist,skiplist,random,20260920,131072,131072,8,0,0.0185345,131072,NA,NA,NA,15433728,8173280,62,454339457082336225,0,6458500,7612458,6288959,memtable,18534458,18534458,18534458,6458500,42,7612458,6288959
byte,byte,random,20260920,131072,131072,8,0,0.0426296,131072,NA,NA,NA,58802176,51306272,391,454339457082336225,0,9265416,10213417,8575833,memtable,42629584,42629584,42629584,9265416,1425375,10213417,8575833
nibble,nibble,random,20260920,131072,131072,8,0,0.0188058,131072,NA,NA,NA,24739840,17452512,133,454339457082336225,0,10372292,11037000,7915916,memtable,18805833,18805833,18805833,10372292,1921917,11037000,7915916
vector,vector,random,20260920,131072,131072,1,0,0.00123192,131072,NA,NA,NA,16564224,5433534,41,454339457082336225,0,35774916,34220417,6531458,index,1231917,1231917,1231917,35774916,41,34220417,6531458
byte,byte,random,20260920,131072,131072,1,0,0.0189245,131072,NA,NA,NA,57901056,49978048,381,454339457082336225,0,7845042,10047958,6352709,index,18924500,18924500,18924500,7845042,1202416,10047958,6352709
nibble,nibble,random,20260920,131072,131072,1,0,0.0268744,131072,NA,NA,NA,24231936,16393368,125,454339457082336225,0,11322708,8065875,7017875,index,26874417,26874417,26874417,11322708,1802833,8065875,7017875
vector,vector,random,20260920,131072,131072,1,0,0.013685,131072,NA,NA,NA,15417344,5433534,41,454339457082336225,0,34945959,34268541,6136084,memtable,13684958,13684958,13684958,34945959,0,34268541,6136084
byte,byte,random,20260920,131072,131072,1,0,0.0313251,131072,NA,NA,NA,56967168,50061536,381,454339457082336225,0,9144000,12425834,11396041,memtable,31325125,31325125,31325125,9144000,1881917,12425834,11396041
nibble,nibble,random,20260920,131072,131072,1,0,0.0376968,131072,NA,NA,NA,23166976,16369832,124,454339457082336225,0,9070750,8594958,7306875,memtable,37696792,37696792,37696792,9070750,2125625,8594958,7306875
nibble,nibble,random,20260920,131072,131072,4,0,0.0128921,131072,NA,NA,NA,24674304,17438400,133,454339457082336225,0,10772125,10837375,7930750,memtable,12892083,12892083,12892083,10772125,2210666,10837375,7930750
byte,byte,random,20260920,131072,131072,4,0,0.0280323,131072,NA,NA,NA,58523648,51227544,390,454339457082336225,0,9846125,18350250,11463292,memtable,28032291,28032291,28032291,9846125,2507625,18350250,11463292
